"name","rating","reviews_count","description","image","city"
"Los Peñasquitos Canyon Preserve","4.6","(516)","Trails through canyons, forests, streams","","San Diego"
"Orfila Vineyards and Winery","4.5","(402)","Tastings of French & Italian varietals","","San Diego"
"Ellen Browning Scripps Memorial Pier","4.8","(509)","Research facility & popular photo spot","","San Diego"
"Ellen Browning Scripps Park","4.8","(678)","Picturesque spot overlooking the ocean","","San Diego"
"Giant Dipper Roller Coaster","4.5","(484)","High-speed wooden coaster built in 1925","","San Diego"
"San Diego Seal Tours","4.3","(32)","","","San Diego"
"Moonlight State Beach","4.7","(2,133)","Volleyball, children's play area & more","","San Diego"
"San Diego Harbor Cruise","5.0","(1)","","","San Diego"
"Tourmaline Surf Park","4.6","(425)","Surfing and beach","","San Diego"
"Tijuana River National Estuarine Research Reserve","4.5","(556)","Wetland nature space with hiking trails","","San Diego"
"Flying Leatherneck Aviation Museum","4.7","(511)","Marine Corps history & visitor center","","San Diego"
"Museum of Contemporary Art San Diego","4.3","(180)","Unique gift shop selling jewelry & books","","San Diego"
"San Diego History Center","4.5","(134)","History, art, and museum","","San Diego"
"Fort Rosecrans National Cemetery","4.9","(318)","Military cemetery with memorials & views","","San Diego"
"Sesame Place San Diego","4.1","(3,757)","Family theme park with shows & rides","","San Diego"
"Manta","4.6","(168)","Ray-themed coaster with 50-ft drops","","San Diego"
"California Tower","4.7","(189)","Ornamental landmark with history tours","","San Diego"
"Monterey Bay Aquarium","4.7","(32,756)","Sprawling marine life attraction","","Monterey"
"Old Fisherman's Wharf","4.5","(13,834)","Quaint landmark with dining & shopping","","Monterey"
"Dennis The Menace Playground","4.7","(2,753)","Sizable kids' playground & park","","Monterey"
"Cannery Row","4.6","(116)","Old cannery buildings, shops & dining","","Monterey"
"Colton Hall Museum and Jail","4.6","(142)","Exhibits dedicated to California history","","Monterey"
"Monterey Museum of Art","4.6","(28)","Museum in a historic former estate","","Monterey"
"San Carlos Cathedral","4.8","(384)","Historic Spanish colonial church","","Monterey"
"Del Monte Beach","4.6","(1,801)","Waterfront with boardwalk & dunes","","Monterey"
"Monterey State Historic Park","4.8","(6)","Museum","","Monterey"
"17 Mile Drive","","","Scenic route along the Pacific coastline","","Monterey"
"Point Lobos State Natural Reserve","4.8","(7,839)","Coastal hikes, diving & a whaling museum","","Monterey"
"Carmel-by-the-Sea","","","Beaches, art galleries & Carmel Mission","","Monterey"
"Lovers Point Park","4.8","(6,495)","Small beachside recreation spot","","Monterey"
"Point Pinos Lighthouse (1855)","4.5","(889)","Historic light tower from 1850s","","Monterey"
"Monterey County Youth Museum","4.7","(279)","Children's museum with hands-on exhibits","","Monterey"
"Monterey State Beach","4.6","(1,152)","Scenic beach area on Monterey Bay","","Monterey"
"Monterey Bay Whale Watch","4.7","(1,305)","","","Monterey"
"Asilomar State Beach","4.8","(2,703)","Scenic beach area with rocky coves","","Monterey"
"Monterey Plaza Hotel & Spa","4.6","(2,930)","","","Monterey"
"Jacks Peak Park","4.7","(436)","Pine forest hikes & vista views","","Monterey"
"Monterey Regional Airport","4.5","(407)","","","Monterey"
"InterContinental the Clement Monterey, an IHG Hotel","4.5","(2,110)","","","Monterey"
"McAbee Beach","4.6","(145)","Beach and scuba diving","","Monterey"
"Monterey State Historic Park Office","4.5","(63)","","","Monterey"
"Presidio of Monterey Museum","4.5","(39)","Museum, salvador dalí, and maritime museum","","Monterey"
"Portola Hotel & Spa at Monterey Bay","4.3","(2,871)","","","Monterey"
"Discovery Whale Watch","4.8","(828)","","","Monterey"
"Victorian Inn","4.4","(960)","","","Monterey"
"Carmel Mission Basilica Museum","4.6","(2,598)","Historic 18th-century church & museums","","Monterey"
"Hyatt Regency Monterey Hotel And Spa On Del Monte Golf Course","4.2","(2,672)","","","Monterey"
"Golden State Theatre","4.5","(314)","","","Monterey"
"Casa Munras Garden Hotel & Spa","4.3","(973)","","","Monterey"
"Princess Monterey Whale Watching","4.5","(350)","","","Monterey"
"Lone Cypress","4.6","(5,246)","Lookout known for an iconic cypress tree","","Monterey"
"Embassy Suites by Hilton Monterey Bay Seaside","4.3","(2,039)","","","Monterey"
"Best Western Plus Monterey Inn","4.2","(843)","","","Monterey"
"Lone Oak Lodge","4.2","(710)","","","Monterey"
"Stage Coach Lodge Monterey","4.3","(431)","","","Monterey"
"Pebble Beach","","","Golf, beach, country club, and wine","","Monterey"
"Holiday Inn Express","4.2","(556)","","","Monterey"
"El Castell Motel","4.1","(780)","","","Monterey"
"Laguna Grande Regional Park Trail","","","Music","","Monterey"
"Ramada by Wyndham Monterey","4.1","(588)","","","Monterey"
"Padre Oaks Inn","4.2","(277)","","","Monterey"
"Pacific Grove","","","Butterflies, beach, lighthouse, golf, and natural history","","Monterey"
"The Inn at Spanish Bay","4.7","(2,064)","","","Monterey"
"Bella on the Bay, Monterey Sailing","5.0","(39)","","","Monterey"
"Laguna Seca Golf Ranch","4.2","(213)","","","Monterey"
"Carmel Monterey Travel","4.7","(3)","","","Monterey"
"The Original Monterey Walking Tours - guided tours of historic Monterey and Cannery Row","4.8","(9)","Take-off point for guided local tours","","Monterey"
"Pebble Beach Golf Links","4.8","(3,178)","Iconic, 18-hole public golf course","","Monterey"
"Steinbeck Plaza","4.5","(1,755)","","","Monterey"
"A Taste of Monterey - Wine Market & Bistro","4.6","(409)","Mediterranean dining with ocean views","","Monterey"
"Old Custom House","","","","","Monterey"
"Monterey Bay Coastal Trail","","","18-mi. paved pathway with scenic views","","Monterey"
"Old Monterey Jail","4.8","(17)","Museum and history","","Monterey"
"Sea Car Tours","4.0","(95)","","","Monterey"
"Del Monte Golf Course","4.5","(248)","18-hole golf course established in 1897","","Monterey"
"Old Fisherman’s Wharf","","","","","Monterey"
"Pacific Grove Golf Links","4.6","(566)","Scenic public golf course & clubhouse","","Monterey"
"El Estero Park","4.6","(1,057)","Park and skateboarding","","Monterey"
"San Carlos Beach Park","4.6","(1,350)","Tranquil spot with bayside vistas","","Monterey"
"Asilomar Hotel and Conference Grounds","4.2","(2,045)","","","Monterey"
"Segway Tours Monterey","5.0","(28)","","","Monterey"
"Coast Guard Pier","4.5","(546)","Sea lions, fishing, and beach","","Monterey"
"The Inn at 1252 Monterey","3.9","(622)","","","Monterey"
"Laguna Grande Regional Park, Monterey side","4.4","(1,384)","Waterfront area with picnic tables","","Monterey"
"Monarch Butterfly Grove","4.6","(3,748)","Seasonal habitat of many butterflies","","Monterey"
"Mission Ranch Restaurant","4.6","(1,735)","","","Monterey"
"Hotel Pacific","3.9","(1,286)","","","Monterey"
"Best Western The Inn & Suites Pacific Grove","4.3","(473)","","","Monterey"
"Pinnacles National Park","4.7","(3,423)","Park featuring caves & rock formations","","Monterey"
"Monterey County Convention & Visitors Bureau","5.0","(2)","","","Monterey"
"Cannery Row","4.6","(607)","","","Monterey"
"Monterey History & Art at Stanton Center","4.4","(476)","Art exhibits & local maritime history","","Monterey"
"Pacific Grove Art Center","4.4","(39)","Art and art museum","","Monterey"
"The Monterey Hotel","3.8","(667)","","","Monterey"
"Carmel River State Beach","4.8","(2,477)","Scenic bird sanctuary with scuba diving","","Monterey"
"National Steinbeck Center","4.6","(499)","Interactive exhibits & museum gift shop","","Monterey"
"The Links at Spanish Bay","4.8","(660)","Iconic golf course with sea views","","Monterey"
"Pacific Grove Museum of Natural History","4.6","(327)","Free exhibitions on regional wildlife","","Monterey"
"Monterey Pines Golf Club","4.4","(175)","Golf","","Monterey"
"Motel 6 Monterey, CA","3.8","(1,212)","","","Monterey"
"Carmel Food Tours","4.9","(139)","","","Monterey"
"Lover's Point Beach","4.7","(1,215)","Rocky point for shoreline recreation","","Monterey"
"Berwick Park","4.7","(1,089)","Ocean views, picnic spots & wildlife","","Monterey"
"Sea Breeze Inn and Cottages","4.1","(355)","","","Monterey"
"WeatherTech Raceway Laguna Seca","4.8","(2,957)","Auto & motorcycle racing","","Monterey"
"Cannery Row Monument","4.7","(35)","","","Monterey"
"Pierce Ranch Vineyards","4.8","(67)","Wine tasting, vineyard, wine, and winery","","Monterey"
"Via Paraiso Park","4.6","(127)","Park","","Monterey"
"San Carlos Beach","4.6","(64)","Beach and scuba diving","","Monterey"
"Monarch Butterfly Sanctuary","4.4","(1,330)","Nature reserve for seasonal butterflies","","Monterey"
"Lower Presidio Historic Park","4.7","(67)","Park","","Monterey"
"Puma Road at Portola Plaza - Wine Tasting Room","4.6","(49)","Wine","","Monterey"
"The Open Sea","5.0","(1)","","","Monterey"
"Cooper-Molera Adobe","4.4","(10)","History","","Monterey"
"Pacific Biological Laboratories (Doc’s Lab)","4.8","(5)","","","Monterey"
"Carmel Mission Basilica Museum","4.6","(2,598)","Historic 18th-century church & museums","","Carmel"
"Point Lobos State Natural Reserve","4.8","(7,839)","Coastal hikes, diving & a whaling museum","","Carmel"
"Monterey Bay Aquarium","4.7","(32,756)","Sprawling marine life attraction","","Carmel"
"Carmel River State Beach","4.8","(2,477)","Scenic bird sanctuary with scuba diving","","Carmel"
"Mission Ranch Restaurant","4.6","(1,735)","","","Carmel"
"Pebble Beach Golf Links","4.8","(3,178)","Iconic, 18-hole public golf course","","Carmel"
"Carmel Plaza","4.5","(1,551)","","","Carmel"
"Garrapata State Park","4.8","(1,304)","Ocean views & 2 miles of beachfront","","Carmel"
"Carmel Beach","4.8","(7,663)","Sweeping white sandy beach & surf spot","","Carmel"
"Caraccioli Cellars","4.5","(49)","Warm, classy tasting room with snacks","","Carmel"
"Carmel Beach","4.8","(596)","Laid-back sweeping white sandy beach","","Carmel"
"Old Fisherman's Wharf","4.5","(13,834)","Quaint landmark with dining & shopping","","Carmel"
"17 Mile Drive","","","Scenic route along the Pacific coastline","","Carmel"
"Lone Cypress","4.6","(5,246)","Lookout known for an iconic cypress tree","","Carmel"
"Ocean Avenue","","","Indie boutiques, art galleries & dining","","Carmel"
"Garland Ranch Regional Park","4.8","(670)","Nature area with many hiking trails","","Carmel"
"Cottage of Sweets","4.5","(255)","","","Carmel"
"Dametra Cafe","4.6","(2,816)","Lively option with a Mediterranean menu","","Carmel"
"Lovers Point Park","4.8","(6,495)","Small beachside recreation spot","","Carmel"
